Date,Open,High,Low,Close
2020-01-02,7189.07,7199.42,6930.01,6968.64
2020-01-03,6968.64,7412.9,6877.58,7326.01
2020-01-06,7347.54,7745.93,7326.01,7722.01
2020-01-07,7716.05,8190.01,7716.05,8032.13
2020-01-08,8045.05,8453.09,7880.22,8071.03
2020-01-09,8071.03,8103.73,7751.94,7806.4
2020-01-10,7806.4,8123.48,7686.4,8071.03
2020-01-13,8149.96,8190.01,8051.53,8116.88
2020-01-14,8116.88,8826.13,8103.73,8748.91
2020-01-15,8726,8880.99,8576.33,8849.56
2020-01-16,8849.56,8857.4,8591.07,8718.4
2020-01-17,8710.8,8992.81,8673.03,8865.25
2020-01-20,8628.13,8733.62,8517.89,8665.51
2020-01-21,8643.04,8771.93,8503.4,8710.8
2020-01-22,8710.8,8787.35,8576.33,8643.04
2020-01-23,8635.58,8665.51,8291.87,8396.31
2020-01-24,8396.31,8510.64,8230.45,8481.76
2020-01-27,8568.98,8984.73,8561.64,8904.72
2020-01-28,8896.8,9182.74,8888.89,9149.13
2020-01-29,9140.77,9425.07,9115.77,9337.07
2020-01-30,9337.07,9560.23,9199.63,9560.23
2020-01-31,9560.23,9560.23,9216.59,9310.99
2020-02-03,9389.67,9587.73,9233.61,9276.44
2020-02-04,9276.44,9345.79,9090.91,9182.74
2020-02-05,9182.74,9746.59,9157.51,9624.64
2020-02-06,9624.64,9852.22,9541.98,9671.18
2020-02-07,9671.18,9861.93,9671.18,9727.63
2020-02-10,10111,10183,9746.59,9842.52
2020-02-11,9842.52,10384,9718.17,10225
2020-02-12,10225,10471,10215,10352
2020-02-13,10352,10493,10101,10215
2020-02-14,10215,10384,10101,10363
2020-02-17,9881.42,10000,9487.67,9633.91
2020-02-18,9633.91,10256,9624.64,10183
2020-02-19,10183,10288,9389.67,9680.54
2020-02-20,9689.92,9689.92,9469.7,9624.64
2020-02-21,9615.38,9756.1,9578.54,9718.17
2020-02-24,9930.49,10020,9496.68,9643.2
2020-02-25,9643.2,9671.18,9259.26,9389.67
2020-02-26,9398.5,9398.5,8650.52,8795.07
2020-02-27,8787.35,8968.61,8532.42,8795.07
2020-02-28,8795.07,8904.72,8445.95,8620.69
2020-03-02,8561.64,8976.66,8503.4,8936.55
2020-03-03,8928.57,8928.57,8673.03,8787.35
2020-03-04,8787.35,8857.4,8695.65,8756.57
2020-03-05,8764.24,9174.31,8756.57,9082.65
2020-03-06,9082.65,9182.74,9009.01,9132.42
2020-03-09,8183.31,8257.64,7662.84,7886.44
2020-03-10,7886.44,8163.27,7770.01,7968.13
2020-03-11,7968.13,7993.61,7616.15,7993.61
2020-03-12,7974.48,7987.22,5583.47,5783.69
2020-03-13,5807.2,5984.44,3966.68,5437.74
2020-03-16,5359.06,5446.62,4460.3,4940.71
2020-03-17,4943.15,5524.86,4933.4,5461.5
2020-03-18,5455.54,5461.5,5030.18,5353.32
2020-03-19,5361.93,6418.49,5265.93,6297.23
2020-03-20,6297.23,6891.8,5688.28,5963.03
2020-03-23,5885.82,6613.76,5704.51,6468.31
2020-03-24,6468.31,6835.27,6410.26,6784.26
2020-03-25,6784.26,6978.37,6485.08,6706.91
2020-03-26,6697.92,6793.48,6544.5,6724.95
2020-03-27,6724.95,6872.85,6596.31,6693.44
2020-03-30,5913.66,6578.95,5875.44,6544.5
2020-03-31,6548.79,6613.76,6353.24,6459.95
2020-04-01,6459.95,6468.31,6172.84,6377.55
2020-04-02,6377.55,7235.89,6373.49,6844.63
2020-04-03,6839.95,7042.25,6622.52,6788.87
2020-04-06,6770.48,7320.64,6770.48,7299.27
2020-04-07,7299.27,7462.69,7087.17,7183.91
2020-04-08,7178.75,7423.9,7142.86,7336.76
2020-04-09,7336.76,7396.45,7127.58,7315.29
2020-04-13,7132.67,7147.96,6618.13,6839.95
2020-04-14,6844.63,6983.24,6779.66,6858.71
2020-04-15,6863.42,6934.81,6697.92,6738.54
2020-04-16,6743.09,7127.58,6497.73,7082.15
2020-04-17,7082.15,7204.61,7007.71,7077.14
2020-04-20,7204.61,7220.22,6775.07,6868.13
2020-04-21,6863.42,6949.27,6788.87,6901.31
2020-04-22,6901.31,7163.32,6835.27,7102.27
2020-04-23,7102.27,7727.98,7042.25,7598.78
2020-04-24,7604.56,7604.56,7418.4,7530.12
2020-04-27,7633.59,7782.1,7593.01,7739.94
2020-04-28,7739.94,7788.16,7674.6,7739.94
2020-04-29,7739.94,8944.54,7727.98,8865.25
2020-04-30,8865.25,9460.74,8417.51,8764.24
2020-05-01,8764.24,9057.97,8605.85,8733.62
2020-05-04,8865.25,8960.57,8547.01,8952.55
2020-05-05,8952.55,9115.77,8787.35,8968.61
2020-05-06,8976.66,9389.67,8920.61,9293.68
2020-05-07,9293.68,9960.16,9066.18,9881.42
2020-05-08,9881.42,10050,9746.59,9960.16
2020-05-11,8726,9157.51,8257.64,8583.69
2020-05-12,8576.33,8976.66,8517.89,8764.24
2020-05-13,8748.91,9407.34,8748.91,9354.54
2020-05-14,9363.3,9930.49,9276.44,9765.63
2020-05-15,9784.74,9842.52,9267.84,9337.07
2020-05-18,9765.63,9940.36,9514.75,9689.92
2020-05-19,9680.54,9891.2,9478.67,9680.54
2020-05-20,9680.54,9832.84,9337.07,9551.1
2020-05-21,9551.1,9569.38,8818.34,9099.18
2020-05-22,9099.18,9259.26,8944.54,9174.31
2020-05-25,9057.97,9066.18,8643.04,8904.72
2020-05-26,8904.72,9009.01,8710.8,8849.56
2020-05-27,8849.56,9216.59,8810.57,9074.41
