Date,Ep
1/27,90
1/28,117
1/29,114
1/30,121
1/31,151
2/1,458
2/2,125
2/3,123
2/4,169
2/5,164
2/6,99
2/7,126
2/8,89
2/9,101
2/10,147
2/11,160
2/12,106
2/13,107
2/14,454
2/15,157
2/16,123
2/17,164
2/18,118
2/19,440
2/20,158
2/21,98
2/22,78
2/23,89
2/24,154
2/25,81
2/26,116
2/27,173
2/28,130
3/1,131
3/2,535
3/3,196
3/4,164
3/5,151
3/6,185
3/7,95
3/8,103
3/9,147
3/10,162
3/11,527
3/12,182
3/13,126
3/14,178
3/15,150
3/16,170
3/17,582
3/18,187
3/19,168
3/20,208
3/21,178
3/22,731
3/23,223
3/24,258
3/25,142
3/26,200
3/27,177
3/28,188
3/29,196
3/30,198
3/31,215
4/1,211
4/2,579
4/3,141
4/4,88
4/5,157
4/6,590
4/7,206
4/8,127
4/9,121
4/10,131
4/11,198
4/12,493
4/13,93
4/14,44
4/15,133
4/16,75
4/17,121
4/18,354
4/19,69
4/20,146
4/21,141
4/22,139
4/23,456
4/24,145
4/25,160
4/26,100
4/27,42
4/28,63
4/29,94
4/30,65
5/1,102
5/2,392
5/3,94
5/4,96
5/5,118
5/6,98
5/7,36
5/8,61
5/9,85
5/10,409
5/11,148
5/12,51
5/13,95
5/14,45
5/15,101
5/16,15
5/17,67
5/18,299
5/19,94
5/20,89
5/21,104
5/22,68
5/23,87
5/24,335
5/25,94
5/26,102
5/27,65
5/28,95
5/29,267
5/30,56
5/31,74
6/1,71
6/2,89
6/3,328
6/4,91
6/5,113
6/6,126
6/7,87
6/8,127
6/9,31
6/10,362
6/11,139
6/12,78
6/13,121
6/14,104
6/15,129
6/16,131
6/17,152
6/18,492
6/19,160
6/20,127
6/21,86
6/22,88
6/23,129
6/24,95
6/25,194
6/26,598
6/27,182
6/28,125
6/29,159
6/30,183
7/1,163
7/2,105
7/3,69
7/4,163
7/5,57
7/6,79
7/7,141
7/8,132
7/9,111
7/10,96
7/11,344
7/12,74
7/13,87
7/14,124
7/15,102
7/16,79
7/17,312
7/18,97
7/19,89
