Date,Moon,Sun,Mer,Ven,Mar,Jup,Sat,Ura,Nep,Plu
17/10/2022,109,203,189,202,84,1,318,47,353,296
17/10/2022,19 | Ca,23 | Li,9 | Li,22 | Li,24 | Ge,1 | Ar,18 | Aq,17 | Ta,23 | Pi,26 | Cp
31/10/2008,67417,5025,5386,5707,2736,794,150,419,31,27
31/10/2008,187.0 | 97.0,13.0 | 345.0,14.0 | 346.0,15.0 | 307.0,7.0 | 216.0,2.0 | 74.0,0.0 | 150.0,419.0 | 419.0,0.0 | 31.0,0.0 | 27.0
01/03/2009,66351,4961,5287,5633,2690,782,147,419,30,25
01/03/2009,184.0 | 111.0,13.0 | 281.0,14.0 | 247.0,15.0 | 233.0,7.0 | 170.0,2.0 | 62.0,0.0 | 147.0,419.0 | 419.0,0.0 | 30.0,0.0 | 25.0
22/05/2010,59703,4463,4833,4790,2463,723,141,408,24,21
22/05/2010,165.0 | 303.0,12.0 | 143.0,13.0 | 153.0,13.0 | 110.0,6.0 | 303.0,2.0 | 3.0,0.0 | 141.0,408.0 | 408.0,0.0 | 24.0,0.0 | 21.0
29/11/2013,42752,3196,3198,3512,1709,251,92,39,20,16
29/11/2013,118.0 | 272.0,8.0 | 316.0,8.0 | 318.0,9.0 | 272.0,4.0 | 269.0,0.0 | 251.0,0.0 | 92.0,39.0 | 39.0,0.0 | 20.0,0.0 | 16.0
17/12/2017,23254,1738,1733,1742,950,137,49,23,11,8
17/12/2017,64.0 | 214.0,4.0 | 298.0,4.0 | 293.0,4.0 | 302.0,2.0 | 230.0,0.0 | 137.0,0.0 | 49.0,23.0 | 23.0,0.0 | 11.0,0.0 | 8.0
15/12/2018,18478,1380,1387,1424,816,113,40,19,9,6
15/12/2018,51.0 | 118.0,3.0 | 300.0,3.0 | 307.0,3.0 | 344.0,2.0 | 96.0,0.0 | 113.0,0.0 | 40.0,19.0 | 19.0,0.0 | 9.0,0.0 | 6.0
26/06/2019,44.0 | 95.0,3.0 | 109.0,3.0 | 70.0,3.0 | 121.0,1.0 | 328.0,0.0 | 104.0,0.0 | 31.0,12.0 | 12.0,0.0 | 4.0,0.0 | 4.0
26/06/2019,15935,1189,1150,1201,688,104,31,12,4,4
03/12/2020,12504,932,941,885,518,70,20,14,4,2
03/12/2020,34.0 | 264.0,2.0 | 212.0,2.0 | 221.0,2.0 | 165.0,1.0 | 158.0,0.0 | 70.0,0.0 | 20.0,14.0 | 14.0,0.0 | 4.0,0.0 | 2.0
25/04/2021,19.0 | 282.0,1.0 | 168.0,1.0 | 147.0,1.0 | 159.0,0.0 | 354.0,0.0 | 34.0,0.0 | 6.0,8.0 | 8.0,0.0 | 1.0,-1.0 | 359.0
25/04/2021,7122,528,507,519,354,34,6,8,1,-1
20/07/2021,16.0 | 225.0,1.0 | 86.0,1.0 | 85.0,1.0 | 55.0,0.0 | 301.0,0.0 | 30.0,0.0 | 8.0,4.0 | 4.0,0.0 | 0.0,0.0 | 1.0
20/07/2021,5985,446,445,415,301,30,8,4,0,1
11/10/2021,4489,336,332,288,228,38,11,6,2,1
11/10/2021,12.0 | 169.0,0.0 | 336.0,0.0 | 332.0,0.0 | 288.0,0.0 | 228.0,0.0 | 38.0,0.0 | 11.0,6.0 | 6.0,0.0 | 2.0,0.0 | 1.0
20/10/2021,4766,357,359,309,242,39,12,5,2,2
20/10/2021,13.0 | 86.0,0.0 | 357.0,0.0 | 359.0,0.0 | 309.0,0.0 | 242.0,0.0 | 39.0,0.0 | 12.0,5.0 | 5.0,0.0 | 2.0,0.0 | 2.0
18/06/2022,1591,117,125,148,67,-5,-6,1,-3,-2
18/06/2022,4.0 | 151.0,0.0 | 117.0,0.0 | 125.0,0.0 | 148.0,0.0 | 67.0,-1.0 | 355.0,-1.0 | 354.0,1.0 | 1.0,-1.0 | 357.0,-1.0 | 358.0
