Date,Earth,Mer,Ven,Mar,Jup,Sat,Ura,Nep,Plu
31/10/2008,5003,20734,8135,2680,426,159,56,31,27
03/01/2009,4939,20513,8033,2645,421,157,55,30,27
22/05/2010,4441,18445,7225,2376,376,140,49,27,24
29/11/2013,3174,13142,5164,1694,261,98,36,20,17
17/12/2017,1716,7102,2793,928,146,53,20,11,9
15/12/2018,1358,5603,2212,723,118,42,16,8,7
26/06/2019,1167,4823,1903,625,103,37,14,7,6
12/03/2020,910,3755,1486,505,81,29,11,6,5
25/04/2021,506,2103,831,273,46,16,6,3,3
20/07/2021,424,1756,692,235,39,14,5,3,2
20/10/2021,335,1370,546,194,31,11,4,2,2
10/11/2021,314,1262,513,185,29,10,4,2,2
18/06/2022,95,407,160,61,9,3,1,1,1
