Date,Earth,Mer,Ven,Mar,Jup,Sat,Ura,Nep,Plu
30/11/2022,68,287,270,72,9,325,47,354,298
30/11/2022,8 | Ge,17 | Cp,0 | Cp,12 | Ge,9 | Ar,25 | Aq,17 | Ta,24 | Pi,28 | Cp
31/10/2008,5069,21011,8240,2717,432,161,56,31,27
31/10/2008,14.0 | 29.0,58.0 | 131.0,22.0 | 320.0,7.0 | 197.0,1.0 | 72.0,0.0 | 161.0,56.0 | 56.0,0.0 | 31.0,0.0 | 27.0
01/03/2009,5005,20790,8138,2682,427,159,55,30,27
01/03/2009,13.0 | 325.0,57.0 | 270.0,22.0 | 218.0,7.0 | 162.0,1.0 | 67.0,0.0 | 159.0,55.0 | 55.0,0.0 | 30.0,0.0 | 27.0
22/05/2010,4507,18722,7330,2413,382,142,49,27,24
22/05/2010,12.0 | 187.0,52.0 | 2.0,20.0 | 130.0,6.0 | 253.0,1.0 | 22.0,0.0 | 142.0,49.0 | 49.0,0.0 | 27.0,0.0 | 24.0
29/11/2013,3240,13419,5269,1731,267,100,36,20,17
29/11/2013,9.0 | 0.0,37.0 | 99.0,14.0 | 229.0,4.0 | 291.0,0.0 | 267.0,0.0 | 100.0,36.0 | 36.0,0.0 | 20.0,0.0 | 17.0
17/12/2017,1782,7379,2898,965,152,55,20,11,9
17/12/2017,4.0 | 342.0,20.0 | 179.0,8.0 | 18.0,2.0 | 245.0,0.0 | 152.0,0.0 | 55.0,20.0 | 20.0,0.0 | 11.0,0.0 | 9.0
15/12/2018,1424,5880,2317,760,124,44,16,8,7
15/12/2018,3.0 | 344.0,16.0 | 120.0,6.0 | 157.0,2.0 | 40.0,0.0 | 124.0,0.0 | 44.0,16.0 | 16.0,0.0 | 8.0,0.0 | 7.0
26/06/2019,3.0 | 153.0,14.0 | 60.0,5.0 | 208.0,1.0 | 302.0,0.0 | 109.0,0.0 | 39.0,14.0 | 14.0,0.0 | 7.0,0.0 | 6.0
26/06/2019,1233,5100,2008,662,109,39,14,7,6
03/12/2020,976,4032,1591,542,87,31,11,6,5
03/12/2020,2.0 | 256.0,11.0 | 72.0,4.0 | 151.0,1.0 | 182.0,0.0 | 87.0,0.0 | 31.0,11.0 | 11.0,0.0 | 6.0,0.0 | 5.0
25/04/2021,1.0 | 212.0,6.0 | 220.0,2.0 | 216.0,0.0 | 310.0,0.0 | 52.0,0.0 | 18.0,6.0 | 6.0,0.0 | 3.0,0.0 | 3.0
25/04/2021,572,2380,936,310,52,18,6,3,3
20/07/2021,1.0 | 130.0,5.0 | 233.0,2.0 | 77.0,0.0 | 272.0,0.0 | 45.0,0.0 | 16.0,5.0 | 5.0,0.0 | 3.0,0.0 | 2.0
20/07/2021,490,2033,797,272,45,16,5,3,2
11/10/2021,380,1539,618,222,35,12,4,2,2
11/10/2021,1.0 | 20.0,4.0 | 99.0,1.0 | 258.0,0.0 | 222.0,0.0 | 35.0,0.0 | 12.0,4.0 | 4.0,0.0 | 2.0,0.0 | 2.0
20/10/2021,401,1647,651,231,37,13,4,2,2
20/10/2021,1.0 | 41.0,4.0 | 207.0,1.0 | 291.0,0.0 | 231.0,0.0 | 37.0,0.0 | 13.0,4.0 | 4.0,0.0 | 2.0,0.0 | 2.0
18/06/2022,161,684,265,98,15,5,1,1,1
18/06/2022,0.0 | 161.0,1.0 | 324.0,0.0 | 265.0,0.0 | 98.0,0.0 | 15.0,0.0 | 5.0,1.0 | 1.0,0.0 | 1.0,0.0 | 1.0
